month,hour,day_type,daylight_savings_status,indoor_dry_bulb_temperature,average_unmet_cooling_setpoint_difference,indoor_relative_humidity,non_shiftable_load,dhw_demand,cooling_demand,heating_demand,solar_generation
1,1,3,,,,,,,,,0.0
1,1,3,,,,,,,,,0.0
1,1,3,,,,,,,,,0.0
1,1,3,,,,,,,,,0.0
1,2,3,,,,,,,,,0.0
1,2,3,,,,,,,,,0.0
1,2,3,,,,,,,,,0.0
1,2,3,,,,,,,,,0.0
1,3,3,,,,,,,,,0.0
1,3,3,,,,,,,,,0.0
1,3,3,,,,,,,,,0.0
1,3,3,,,,,,,,,0.0
1,4,3,,,,,,,,,0.0
1,4,3,,,,,,,,,0.0
1,4,3,,,,,,,,,0.0
1,4,3,,,,,,,,,0.0
1,5,3,,,,,,,,,0.0
1,5,3,,,,,,,,,0.0
1,5,3,,,,,,,,,0.0
1,5,3,,,,,,,,,0.0
1,6,3,,,,,,,,,0.0
1,6,3,,,,,,,,,0.0
1,6,3,,,,,,,,,0.0
1,6,3,,,,,,,,,0.0
1,7,3,,,,,,,,,0.0
1,7,3,,,,,,,,,0.0
1,7,3,,,,,,,,,0.0
1,7,3,,,,,,,,,0.0
1,8,3,,,,,,,,,0.0
1,8,3,,,,,,,,,0.0
1,8,3,,,,,,,,,0.0
1,8,3,,,,,,,,,0.0
1,9,3,,,,,,,,,0.0025
1,9,3,,,,,,,,,0.0475
1,9,3,,,,,,,,,0.115
1,9,3,,,,,,,,,0.215
1,10,3,,,,,,,,,0.365
1,10,3,,,,,,,,,0.675
1,10,3,,,,,,,,,1.13
1,10,3,,,,,,,,,1.2825
1,11,3,,,,,,,,,1.835
1,11,3,,,,,,,,,3.0825
1,11,3,,,,,,,,,3.8
1,11,3,,,,,,,,,4.18
1,12,3,,,,,,,,,4.3925
1,12,3,,,,,,,,,4.475
1,12,3,,,,,,,,,4.685
1,12,3,,,,,,,,,4.7975
1,13,3,,,,,,,,,4.975
1,13,3,,,,,,,,,5.0025
1,13,3,,,,,,,,,5.125
1,13,3,,,,,,,,,5.2025
1,14,3,,,,,,,,,4.985
1,14,3,,,,,,,,,5.1125
1,14,3,,,,,,,,,5.0425
1,14,3,,,,,,,,,3.6375
1,15,3,,,,,,,,,4.9675
1,15,3,,,,,,,,,4.495
1,15,3,,,,,,,,,4.22
1,15,3,,,,,,,,,3.9925
1,16,3,,,,,,,,,3.68
1,16,3,,,,,,,,,3.415
1,16,3,,,,,,,,,2.6475
1,16,3,,,,,,,,,1.5175
1,17,3,,,,,,,,,1.5125
1,17,3,,,,,,,,,1.185
1,17,3,,,,,,,,,0.58
1,17,3,,,,,,,,,0.2775
1,18,3,,,,,,,,,0.23
1,18,3,,,,,,,,,0.0775
1,18,3,,,,,,,,,0.005
1,18,3,,,,,,,,,0.0
1,19,3,,,,,,,,,0.0
1,19,3,,,,,,,,,0.0
1,19,3,,,,,,,,,0.0
1,19,3,,,,,,,,,0.0
1,20,3,,,,,,,,,0.0
1,20,3,,,,,,,,,0.0
1,20,3,,,,,,,,,0.0
1,20,3,,,,,,,,,0.0
1,21,3,,,,,,,,,0.0
1,21,3,,,,,,,,,0.0
1,21,3,,,,,,,,,0.0
1,21,3,,,,,,,,,0.0
1,22,3,,,,,,,,,0.0
1,22,3,,,,,,,,,0.0
1,22,3,,,,,,,,,0.0
1,22,3,,,,,,,,,0.0
1,23,3,,,,,,,,,0.0
1,23,3,,,,,,,,,0.0
1,23,3,,,,,,,,,0.0
1,23,3,,,,,,,,,0.0
1,24,3,,,,,,,,,0.0
1,24,3,,,,,,,,,0.0
1,24,3,,,,,,,,,0.0
1,24,3,,,,,,,,,0.0
1,1,4,,,,,,,,,0.0
1,1,4,,,,,,,,,0.0
1,1,4,,,,,,,,,0.0
1,1,4,,,,,,,,,0.0
1,2,4,,,,,,,,,0.0
1,2,4,,,,,,,,,0.0
1,2,4,,,,,,,,,0.0
1,2,4,,,,,,,,,0.0
1,3,4,,,,,,,,,0.0
1,3,4,,,,,,,,,0.0
1,3,4,,,,,,,,,0.0
1,3,4,,,,,,,,,0.0
1,4,4,,,,,,,,,0.0
1,4,4,,,,,,,,,0.0
1,4,4,,,,,,,,,0.0
1,4,4,,,,,,,,,0.0
1,5,4,,,,,,,,,0.0
1,5,4,,,,,,,,,0.0
1,5,4,,,,,,,,,0.0
1,5,4,,,,,,,,,0.0
1,6,4,,,,,,,,,0.0
1,6,4,,,,,,,,,0.0
1,6,4,,,,,,,,,0.0
1,6,4,,,,,,,,,0.0
1,7,4,,,,,,,,,0.0
1,7,4,,,,,,,,,0.0
1,7,4,,,,,,,,,0.0
1,7,4,,,,,,,,,0.0
1,8,4,,,,,,,,,0.0
1,8,4,,,,,,,,,0.0
1,8,4,,,,,,,,,0.0
1,8,4,,,,,,,,,0.0
1,9,4,,,,,,,,,0.0
1,9,4,,,,,,,,,0.0075
1,9,4,,,,,,,,,0.0925
1,9,4,,,,,,,,,0.145
1,10,4,,,,,,,,,0.2175
1,10,4,,,,,,,,,0.325
1,10,4,,,,,,,,,0.485
1,10,4,,,,,,,,,0.8675
1,11,4,,,,,,,,,1.385
1,11,4,,,,,,,,,1.64
1,11,4,,,,,,,,,2.42
1,11,4,,,,,,,,,1.335
1,12,4,,,,,,,,,1.4525
1,12,4,,,,,,,,,1.4275
1,12,4,,,,,,,,,2.59
1,12,4,,,,,,,,,2.88
1,13,4,,,,,,,,,2.87
1,13,4,,,,,,,,,2.9775
1,13,4,,,,,,,,,4.395
1,13,4,,,,,,,,,4.835
1,14,4,,,,,,,,,4.4
1,14,4,,,,,,,,,3.605
1,14,4,,,,,,,,,4.2225
1,14,4,,,,,,,,,2.4225
1,15,4,,,,,,,,,1.6475
1,15,4,,,,,,,,,1.275
1,15,4,,,,,,,,,1.2025
1,15,4,,,,,,,,,1.4675
1,16,4,,,,,,,,,2.1925
1,16,4,,,,,,,,,3.02
1,16,4,,,,,,,,,2.7175
1,16,4,,,,,,,,,2.02
1,17,4,,,,,,,,,1.33
1,17,4,,,,,,,,,0.6675
1,17,4,,,,,,,,,0.4675
1,17,4,,,,,,,,,0.2575
1,18,4,,,,,,,,,0.115
1,18,4,,,,,,,,,0.0225
1,18,4,,,,,,,,,0.0
1,18,4,,,,,,,,,0.0
1,19,4,,,,,,,,,0.0
1,19,4,,,,,,,,,0.0
1,19,4,,,,,,,,,0.0
1,19,4,,,,,,,,,0.0
1,20,4,,,,,,,,,0.0
1,20,4,,,,,,,,,0.0
1,20,4,,,,,,,,,0.0
1,20,4,,,,,,,,,0.0
1,21,4,,,,,,,,,0.0
1,21,4,,,,,,,,,0.0
1,21,4,,,,,,,,,0.0
1,21,4,,,,,,,,,0.0
1,22,4,,,,,,,,,0.0
1,22,4,,,,,,,,,0.0
1,22,4,,,,,,,,,0.0
1,22,4,,,,,,,,,0.0
1,23,4,,,,,,,,,0.0
1,23,4,,,,,,,,,0.0
1,23,4,,,,,,,,,0.0
1,23,4,,,,,,,,,0.0
1,24,4,,,,,,,,,0.0
1,24,4,,,,,,,,,0.0
1,24,4,,,,,,,,,0.0
1,24,4,,,,,,,,,0.0
1,1,5,,,,,,,,,0.0
1,1,5,,,,,,,,,0.0
1,1,5,,,,,,,,,0.0
1,1,5,,,,,,,,,0.0
1,2,5,,,,,,,,,0.0
1,2,5,,,,,,,,,0.0
1,2,5,,,,,,,,,0.0
1,2,5,,,,,,,,,0.0
1,3,5,,,,,,,,,0.0
1,3,5,,,,,,,,,0.0
1,3,5,,,,,,,,,0.0
1,3,5,,,,,,,,,0.0
1,4,5,,,,,,,,,0.0
1,4,5,,,,,,,,,0.0
1,4,5,,,,,,,,,0.0
1,4,5,,,,,,,,,0.0
1,5,5,,,,,,,,,0.0
1,5,5,,,,,,,,,0.0
1,5,5,,,,,,,,,0.0
1,5,5,,,,,,,,,0.0
1,6,5,,,,,,,,,0.0
1,6,5,,,,,,,,,0.0
1,6,5,,,,,,,,,0.0
1,6,5,,,,,,,,,0.0
1,7,5,,,,,,,,,0.0
1,7,5,,,,,,,,,0.0
1,7,5,,,,,,,,,0.0
1,7,5,,,,,,,,,0.0
1,8,5,,,,,,,,,0.0
1,8,5,,,,,,,,,0.0
1,8,5,,,,,,,,,0.0
1,8,5,,,,,,,,,0.0
1,9,5,,,,,,,,,0.0
1,9,5,,,,,,,,,0.0025
1,9,5,,,,,,,,,0.0475
1,9,5,,,,,,,,,0.1025
1,10,5,,,,,,,,,0.24
1,10,5,,,,,,,,,0.36
1,10,5,,,,,,,,,0.47
1,10,5,,,,,,,,,0.77
1,11,5,,,,,,,,,1.125
1,11,5,,,,,,,,,1.1325
1,11,5,,,,,,,,,1.3575
1,11,5,,,,,,,,,1.3625
1,12,5,,,,,,,,,1.4575
1,12,5,,,,,,,,,1.3225
1,12,5,,,,,,,,,1.275
1,12,5,,,,,,,,,1.345
1,13,5,,,,,,,,,1.3875
1,13,5,,,,,,,,,1.7
1,13,5,,,,,,,,,1.355
1,13,5,,,,,,,,,1.23
