time_step,name,level,net_electricity_consumption_kwh,net_electricity_consumption_cost,net_electricity_consumption_emission_kgco2,solar_generation_kwh,bess_electricity_consumption_kwh,bess_soc,ev_charger_electricity_consumption_kwh,deferrable_appliance_electricity_consumption_kwh
0,Building_1,building,3.0,0.24944999814033508,0.5121732354164124,-0.0,0.0,0.0,0,0
0,District,district,3.0,0.24944999814033508,0.5121732354164124,0.0,0.0,,0,0
1,Building_1,building,2.75,0.22866249084472656,0.469492107629776,-0.0,0.0,0.0,0,0
1,District,district,2.75,0.22866249084472656,0.469492107629776,0.0,0.0,,0,0
2,Building_1,building,3.0,0.24944999814033508,0.5121732354164124,-0.0,0.0,0.0,0,0
2,District,district,3.0,0.24944999814033508,0.5121732354164124,0.0,0.0,,0,0
3,Building_1,building,2.75,0.22866249084472656,0.469492107629776,-0.0,0.0,0.0,0,0
3,District,district,2.75,0.22866249084472656,0.469492107629776,0.0,0.0,,0,0
4,Building_1,building,3.0,0.24944999814033508,0.47195714712142944,-0.0,0.0,0.0,0,0
4,District,district,3.0,0.24944999814033508,0.47195714712142944,0.0,0.0,,0,0
5,Building_1,building,3.0,0.24944999814033508,0.47195714712142944,-0.0,0.0,0.0,0,0
5,District,district,3.0,0.24944999814033508,0.47195714712142944,0.0,0.0,,0,0
6,Building_1,building,3.5,0.29102498292922974,0.5506166815757751,-0.0,0.0,0.0,0,0
6,District,district,3.5,0.29102498292922974,0.5506166815757751,0.0,0.0,,0,0
7,Building_1,building,4.0,0.3325999975204468,0.6292762160301208,-0.0,0.0,0.0,0,0
7,District,district,4.0,0.3325999975204468,0.6292762160301208,0.0,0.0,,0,0
8,Building_1,building,3.75,0.3184875249862671,0.5793845653533936,-0.0,0.0,0.0,0,0
8,District,district,3.75,0.3184875249862671,0.5793845653533936,0.0,0.0,,0,0
9,Building_1,building,4.0,0.3397200107574463,0.6180102229118347,-0.0,0.0,0.0,0,0
9,District,district,4.0,0.3397200107574463,0.6180102229118347,0.0,0.0,,0,0
10,Building_1,building,4.25,0.3609524965286255,0.6566358804702759,-0.0,0.0,0.0,0,0
10,District,district,4.25,0.3609524965286255,0.6566358804702759,0.0,0.0,,0,0
11,Building_1,building,4.25,0.3609524965286255,0.6566358804702759,-0.0,0.0,0.0,0,0
11,District,district,4.25,0.3609524965286255,0.6566358804702759,0.0,0.0,,0,0
12,Building_1,building,5.0,0.42465001344680786,0.754724383354187,-0.0,0.0,0.0,0,0
12,District,district,5.0,0.42465001344680786,0.754724383354187,0.0,0.0,,0,0
13,Building_1,building,4.25,0.3609524965286255,0.6415157318115234,-0.0,0.0,0.0,0,0
13,District,district,4.25,0.3609524965286255,0.6415157318115234,0.0,0.0,,0,0
14,Building_1,building,4.25,0.3609524965286255,0.6415157318115234,-0.0,0.0,0.0,0,0
14,District,district,4.25,0.3609524965286255,0.6415157318115234,0.0,0.0,,0,0
15,Building_1,building,3.75,0.3184875249862671,0.5660432577133179,-0.0,0.0,0.0,0,0
15,District,district,3.75,0.3184875249862671,0.5660432577133179,0.0,0.0,,0,0
16,Building_1,building,3.75,0.3184875249862671,0.5693244934082031,-0.0,0.0,0.0,0,0
16,District,district,3.75,0.3184875249862671,0.5693244934082031,0.0,0.0,,0,0
17,Building_1,building,3.25,0.2760224938392639,0.49341458082199097,-0.0,0.0,0.0,0,0
17,District,district,3.25,0.2760224938392639,0.49341458082199097,0.0,0.0,,0,0
18,Building_1,building,2.75,0.23355750739574432,0.4175046384334564,-0.0,0.0,0.0,0,0
18,District,district,2.75,0.23355750739574432,0.4175046384334564,0.0,0.0,,0,0
19,Building_1,building,3.0,0.2547900080680847,0.4554595947265625,-0.0,0.0,0.0,0,0
19,District,district,3.0,0.2547900080680847,0.4554595947265625,0.0,0.0,,0,0
20,Building_1,building,2.7487499713897705,0.23345133662223816,0.43454501032829285,-0.0012499999720603228,0.0,0.0,0,0
20,District,district,2.7487499713897705,0.23345133662223816,0.43454501032829285,-0.0012499999720603228,0.0,,0,0
21,Building_1,building,3.226249933242798,0.2740054130554199,0.5100321173667908,-0.023749999701976776,0.0,0.0,0,0
21,District,district,3.226249933242798,0.2740054130554199,0.5100321173667908,-0.023749999701976776,0.0,,0,0
22,Building_1,building,2.942500114440918,0.2499065399169922,0.4651746153831482,-0.057500001043081284,0.0,0.0,0,0
22,District,district,2.942500114440918,0.2499065399169922,0.4651746153831482,-0.057500001043081284,0.0,,0,0
23,Building_1,building,3.1424999237060547,0.26689252257347107,0.4967922270298004,-0.10750000178813934,0.0,0.0,0,0
23,District,district,3.1424999237060547,0.26689252257347107,0.4967922270298004,-0.10750000178813934,0.0,,0,0
24,Building_1,building,3.317500114440918,0.2758501470088959,0.5372338891029358,-0.18250000476837158,0.0,0.0,0,0
24,District,district,3.317500114440918,0.2758501470088959,0.5372338891029358,-0.18250000476837158,0.0,,0,0
25,Building_1,building,3.9124999046325684,0.3253243565559387,0.6335877776145935,-0.3375000059604645,0.0,0.0,0,0
25,District,district,3.9124999046325684,0.3253243565559387,0.6335877776145935,-0.3375000059604645,0.0,,0,0
26,Building_1,building,4.684999942779541,0.38955774903297424,0.7586859464645386,-0.5649999976158142,0.0,0.0,0,0
26,District,district,4.684999942779541,0.38955774903297424,0.7586859464645386,-0.5649999976158142,0.0,,0,0
27,Building_1,building,4.608749866485596,0.38321754336357117,0.7463380098342896,-0.6412500143051147,0.0,0.0,0,0
27,District,district,4.608749866485596,0.38321754336357117,0.7463380098342896,-0.6412500143051147,0.0,,0,0
28,Building_1,building,4.582499980926514,0.38103488087654114,0.7531153559684753,-0.9175000190734863,0.0,0.0,0,0
28,District,district,4.582499980926514,0.38103488087654114,0.7531153559684753,-0.9175000190734863,0.0,,0,0
29,Building_1,building,4.708749771118164,0.3915325403213501,0.7738640308380127,-1.5412499904632568,0.0,0.0,0,0
29,District,district,4.708749771118164,0.3915325403213501,0.7738640308380127,-1.5412499904632568,0.0,,0,0
30,Building_1,building,5.849999904632568,0.4864274859428406,0.9614238739013672,-1.899999976158142,0.0,0.0,0,0
30,District,district,5.849999904632568,0.4864274859428406,0.9614238739013672,-1.899999976158142,0.0,,0,0
31,Building_1,building,4.659999847412109,0.3874789774417877,0.765852153301239,-2.0899999141693115,0.0,0.0,0,0
31,District,district,4.659999847412109,0.3874789774417877,0.765852153301239,-2.0899999141693115,0.0,,0,0
32,Building_1,building,3.8062500953674316,0.31648969650268555,0.7269867062568665,-2.1962499618530273,0.0,0.0,0,0
32,District,district,3.8062500953674316,0.31648969650268555,0.7269867062568665,-2.1962499618530273,0.0,,0,0
33,Building_1,building,4.310000419616699,0.35837653279304504,0.8232021331787109,-2.237499952316284,0.0,0.0,0,0
33,District,district,4.310000419616699,0.35837653279304504,0.8232021331787109,-2.237499952316284,0.0,,0,0
34,Building_1,building,3.2724997997283936,0.2721083462238312,0.6250414252281189,-2.3424999713897705,0.0,0.0,0,0
34,District,district,3.2724997997283936,0.2721083462238312,0.6250414252281189,-2.3424999713897705,0.0,,0,0
35,Building_1,building,3.0662500858306885,0.2549586892127991,0.5856481194496155,-2.398750066757202,0.0,0.0,0,0
35,District,district,3.0662500858306885,0.2549586892127991,0.5856481194496155,-2.398750066757202,0.0,,0,0
36,Building_1,building,1.6274998188018799,0.13532660901546478,0.3302178680896759,-2.487499952316284,0.0,0.0,0,0
36,District,district,1.6274998188018799,0.13532660901546478,0.3302178680896759,-2.487499952316284,0.0,,0,0
37,Building_1,building,1.1737499237060547,0.09759730845689774,0.23815251886844635,-2.5012500286102295,0.0,0.0,0,0
37,District,district,1.1737499237060547,0.09759730845689774,0.23815251886844635,-2.5012500286102295,0.0,,0,0
38,Building_1,building,1.567500114440918,0.1303376406431198,0.318043977022171,-2.5625,0.0,0.0,0,0
38,District,district,1.567500114440918,0.1303376406431198,0.318043977022171,-2.5625,0.0,,0,0
39,Building_1,building,2.1812498569488525,0.18137092888355255,0.44257310032844543,-2.601249933242798,0.0,0.0,0,0
39,District,district,2.1812498569488525,0.18137092888355255,0.44257310032844543,-2.601249933242798,0.0,,0,0
40,Building_1,building,4.342499732971191,0.3610788583755493,0.9243952631950378,-2.492500066757202,0.0,0.0,0,0
40,District,district,4.342499732971191,0.3610788583755493,0.9243952631950378,-2.492500066757202,0.0,,0,0
41,Building_1,building,3.026249885559082,0.2516326904296875,0.6442028880119324,-2.5562500953674316,0.0,0.0,0,0
41,District,district,3.026249885559082,0.2516326904296875,0.6442028880119324,-2.5562500953674316,0.0,,0,0
42,Building_1,building,1.278749942779541,0.10632805526256561,0.27220964431762695,-2.521250009536743,0.0,0.0,0,0
42,District,district,1.278749942779541,0.10632805526256561,0.27220964431762695,-2.521250009536743,0.0,,0,0
43,Building_1,building,2.1112499237060547,0.1755504310131073,0.4494253396987915,-1.818750023841858,0.0,0.0,0,0
43,District,district,2.1112499237060547,0.1755504310131073,0.4494253396987915,-1.818750023841858,0.0,,0,0
44,Building_1,building,3.1575000286102295,0.2625461220741272,0.7126790881156921,-2.484999895095825,0.0,0.0,0,0
44,District,district,3.1575000286102295,0.2625461220741272,0.7126790881156921,-2.484999895095825,0.0,,0,0
45,Building_1,building,6.4537506103515625,0.5366293787956238,1.4566755294799805,-2.271250009536743,0.0,0.0,0,0
45,District,district,6.4537506103515625,0.5366293787956238,1.4566755294799805,-2.271250009536743,0.0,,0,0
46,Building_1,building,3.2674999237060547,0.2716926038265228,0.7375071048736572,-2.1675000190734863,0.0,0.0,0,0
46,District,district,3.2674999237060547,0.2716926038265228,0.7375071048736572,-2.1675000190734863,0.0,,0,0
47,Building_1,building,2.4437501430511475,0.20319782197475433,0.5515786409378052,-2.103749990463257,0.0,0.0,0,0
47,District,district,2.4437501430511475,0.20319782197475433,0.5515786409378052,-2.103749990463257,0.0,,0,0
48,Building_1,building,2.2024998664855957,0.18313786387443542,0.5167238712310791,-2.0225000381469727,0.0,0.0,0,0
48,District,district,2.2024998664855957,0.18313786387443542,0.5167238712310791,-2.0225000381469727,0.0,,0,0
49,Building_1,building,2.4574999809265137,0.2043411284685135,0.5765488743782043,-2.0450000762939453,0.0,0.0,0,0
49,District,district,2.4574999809265137,0.2043411284685135,0.5765488743782043,-2.0450000762939453,0.0,,0,0
50,Building_1,building,5.236249923706055,0.43539416790008545,1.2284655570983887,-1.8887499570846558,0.0,0.0,0,0
50,District,district,5.236249923706055,0.43539416790008545,1.2284655570983887,-1.8887499570846558,0.0,,0,0
51,Building_1,building,3.052499771118164,0.25381535291671753,0.7161405086517334,-1.399999976158142,0.0,0.0,0,0
51,District,district,3.052499771118164,0.25381535291671753,0.7161405086517334,-1.399999976158142,0.0,,0,0
52,Building_1,building,2.8112502098083496,0.2337554544210434,0.682742178440094,-1.6737500429153442,0.0,0.0,0,0
52,District,district,2.8112502098083496,0.2337554544210434,0.682742178440094,-1.6737500429153442,0.0,,0,0
53,Building_1,building,2.228750228881836,0.18532058596611023,0.5412758588790894,-2.1337499618530273,0.0,0.0,0,0
53,District,district,2.228750228881836,0.18532058596611023,0.5412758588790894,-2.1337499618530273,0.0,,0,0
54,Building_1,building,3.1024999618530273,0.2579728662967682,0.7534753084182739,-2.190000057220459,0.0,0.0,0,0
54,District,district,3.1024999618530273,0.2579728662967682,0.7534753084182739,-2.190000057220459,0.0,,0,0
55,Building_1,building,1.658750057220459,0.13792507350444794,0.40284520387649536,-2.228749990463257,0.0,0.0,0,0
55,District,district,1.658750057220459,0.13792507350444794,0.40284520387649536,-2.228749990463257,0.0,,0,0
56,Building_1,building,2.656250238418579,0.22086720168590546,0.6434480547904968,-2.3112499713897705,0.0,0.0,0,0
56,District,district,2.656250238418579,0.22086720168590546,0.6434480547904968,-2.3112499713897705,0.0,,0,0
57,Building_1,building,1.96875,0.16370156407356262,0.47690853476524353,-2.276249885559082,0.0,0.0,0,0
57,District,district,1.96875,0.16370156407356262,0.47690853476524353,-2.276249885559082,0.0,,0,0
58,Building_1,building,1.874999761581421,0.15590623021125793,0.45419853925704956,-2.3450000286102295,0.0,0.0,0,0
58,District,district,1.874999761581421,0.15590623021125793,0.45419853925704956,-2.3450000286102295,0.0,,0,0
59,Building_1,building,2.343749761581421,0.19488279521465302,0.5677481889724731,-2.398750066757202,0.0,0.0,0,0
59,District,district,2.343749761581421,0.19488279521465302,0.5677481889724731,-2.398750066757202,0.0,,0,0
60,Building_1,building,1.6924998760223389,0.14073136448860168,0.4107363820075989,-2.487499952316284,0.0,0.0,0,0
60,District,district,1.6924998760223389,0.14073136448860168,0.4107363820075989,-2.487499952316284,0.0,,0,0
61,Building_1,building,1.9137499332427979,0.1591283082962036,0.46442940831184387,-2.5012500286102295,0.0,0.0,0,0
61,District,district,1.9137499332427979,0.1591283082962036,0.46442940831184387,-2.5012500286102295,0.0,,0,0
62,Building_1,building,2.0850000381469727,0.17336775362491608,0.5059884190559387,-2.5625,0.0,0.0,0,0
