Mes,Energia_kWh,Custo_EUR,Preco_medio
Jan,13319.000002384186,1236.1694173663855,0.09281247970156192
Fev,11908.749982476234,1109.3609490450472,0.09315511289408843
Mar,9878.108744740486,917.4521033321798,0.09287730344340148
Abr,6630.292508721352,608.0207260334503,0.09170345429461403
Mai,3772.711254587397,344.9786909530604,0.091440523187028
Jun,3404.579996808432,309.092853226523,0.09078736687529065
Jul,2810.8800088986754,252.60202298174198,0.08986581504086096
Ago,3439.07999368757,307.7390972888113,0.0894829715661358
Set,4419.703752577305,405.6379334211822,0.09177943955737726
Out,7120.872507274151,664.6976259146018,0.09334496934688781
Nov,9111.610000133514,846.830297135908,0.09293969969341305
Dez,13920.000000357628,1286.8053747788072,0.09244291485242435
