timestamp,Net Electricity Consumption-kWh,Non-shiftable Load-kWh,Non-shiftable Load Electricity Consumption-kWh,Energy Production from PV-kWh
2025-01-01T00:00:00,3.0,3.0,3.0,-0.0
2025-01-01T00:15:00,2.75,2.75,2.75,-0.0
2025-01-01T00:30:00,3.0,3.0,3.0,-0.0
2025-01-01T00:45:00,2.75,2.75,2.75,-0.0
2025-01-01T01:00:00,3.0,3.0,3.0,-0.0
2025-01-01T01:15:00,3.0,3.0,3.0,-0.0
2025-01-01T01:30:00,3.5,3.5,3.5,-0.0
2025-01-01T01:45:00,4.0,4.0,4.0,-0.0
2025-01-01T02:00:00,3.75,3.75,3.75,-0.0
2025-01-01T02:15:00,4.0,4.0,4.0,-0.0
2025-01-01T02:30:00,4.25,4.25,4.25,-0.0
2025-01-01T02:45:00,4.25,4.25,4.25,-0.0
2025-01-01T03:00:00,5.0,5.0,5.0,-0.0
2025-01-01T03:15:00,4.25,4.25,4.25,-0.0
2025-01-01T03:30:00,4.25,4.25,4.25,-0.0
2025-01-01T03:45:00,3.75,3.75,3.75,-0.0
2025-01-01T04:00:00,3.75,3.75,3.75,-0.0
2025-01-01T04:15:00,3.25,3.25,3.25,-0.0
2025-01-01T04:30:00,2.75,2.75,2.75,-0.0
2025-01-01T04:45:00,3.0,3.0,3.0,-0.0
2025-01-01T05:00:00,2.74916672706604,2.75,2.75,-0.0008333333535119891
2025-01-01T05:15:00,3.2341666221618652,3.25,3.25,-0.015833333134651184
2025-01-01T05:30:00,2.9616665840148926,3.0,3.0,-0.038333334028720856
2025-01-01T05:45:00,3.178333282470703,3.25,3.25,-0.0716666653752327
2025-01-01T06:00:00,3.378333330154419,3.5,3.5,-0.12166666984558105
2025-01-01T06:15:00,4.025000095367432,4.25,4.25,-0.22499999403953552
2025-01-01T06:30:00,4.87333345413208,5.25,5.25,-0.3766666650772095
2025-01-01T06:45:00,4.822500228881836,5.25,5.25,-0.42750000953674316
2025-01-01T07:00:00,4.888333320617676,5.5,5.5,-0.6116666793823242
2025-01-01T07:15:00,5.222499847412109,6.25,6.25,-1.027500033378601
2025-01-01T07:30:00,6.483333587646484,7.75,7.75,-1.2666666507720947
2025-01-01T07:45:00,5.356666564941406,6.75,6.75,-1.3933333158493042
2025-01-01T08:00:00,4.537499904632568,6.002500057220459,6.002500057220459,-1.465000033378601
2025-01-01T08:15:00,5.039999961853027,6.547500133514404,6.547500133514404,-1.5075000524520874
2025-01-01T08:30:00,4.014999866485596,5.614999771118164,5.614999771118164,-1.600000023841858
2025-01-01T08:45:00,3.7941668033599854,5.465000152587891,5.465000152587891,-1.6708333492279053
2025-01-01T09:00:00,2.3349997997283936,4.114999771118164,4.114999771118164,-1.7799999713897705
2025-01-01T09:15:00,1.78249990940094,3.674999952316284,3.674999952316284,-1.8925000429153442
2025-01-01T09:30:00,2.0450000762939453,4.130000114440918,4.130000114440918,-2.0850000381469727
2025-01-01T09:45:00,2.620833158493042,4.78249979019165,4.78249979019165,-2.1616666316986084
2025-01-01T10:00:00,4.561666488647461,6.835000038146973,6.835000038146973,-2.2733333110809326
2025-01-01T10:15:00,2.8508334159851074,5.582499980926514,5.582499980926514,-2.7316665649414062
2025-01-01T10:30:00,0.8524999618530273,3.799999952316284,3.799999952316284,-2.947499990463257
2025-01-01T10:45:00,1.3241667747497559,3.930000066757202,3.930000066757202,-2.6058332920074463
2025-01-01T11:00:00,2.5216665267944336,5.642499923706055,5.642499923706055,-3.120833396911621
2025-01-01T11:15:00,5.7191667556762695,8.725000381469727,8.725000381469727,-3.005833387374878
2025-01-01T11:30:00,2.428333282470703,5.434999942779541,5.434999942779541,-3.006666660308838
2025-01-01T11:45:00,1.5458333492279053,4.547500133514404,4.547500133514404,-3.001666784286499
2025-01-01T12:00:00,1.2183332443237305,4.224999904632568,4.224999904632568,-3.006666660308838
2025-01-01T12:15:00,1.4716668128967285,4.502500057220459,4.502500057220459,-3.0308332443237305
2025-01-01T12:30:00,4.157500267028809,7.125,7.125,-2.9674999713897705
2025-01-01T12:45:00,1.7849998474121094,4.452499866485596,4.452499866485596,-2.6675000190734863
2025-01-01T13:00:00,1.7075002193450928,4.485000133514404,4.485000133514404,-2.7774999141693115
