time_step,name,level,net_electricity_consumption_kwh,net_electricity_consumption_cost,net_electricity_consumption_emission_kgco2,solar_generation_kwh,bess_electricity_consumption_kwh,bess_soc,ev_charger_electricity_consumption_kwh,deferrable_appliance_electricity_consumption_kwh
0,Building_1,building,3.0,0.24944999814033508,0.5121732354164124,-0.0,0.0,0.0,0,0
0,District,district,3.0,0.24944999814033508,0.5121732354164124,0.0,0.0,,0,0
1,Building_1,building,2.75,0.22866249084472656,0.469492107629776,-0.0,0.0,0.0,0,0
1,District,district,2.75,0.22866249084472656,0.469492107629776,0.0,0.0,,0,0
2,Building_1,building,3.0,0.24944999814033508,0.5121732354164124,-0.0,0.0,0.0,0,0
2,District,district,3.0,0.24944999814033508,0.5121732354164124,0.0,0.0,,0,0
3,Building_1,building,2.75,0.22866249084472656,0.469492107629776,-0.0,0.0,0.0,0,0
3,District,district,2.75,0.22866249084472656,0.469492107629776,0.0,0.0,,0,0
4,Building_1,building,3.0,0.24944999814033508,0.47195714712142944,-0.0,0.0,0.0,0,0
4,District,district,3.0,0.24944999814033508,0.47195714712142944,0.0,0.0,,0,0
5,Building_1,building,3.0,0.24944999814033508,0.47195714712142944,-0.0,0.0,0.0,0,0
5,District,district,3.0,0.24944999814033508,0.47195714712142944,0.0,0.0,,0,0
6,Building_1,building,3.5,0.29102498292922974,0.5506166815757751,-0.0,0.0,0.0,0,0
6,District,district,3.5,0.29102498292922974,0.5506166815757751,0.0,0.0,,0,0
7,Building_1,building,4.0,0.3325999975204468,0.6292762160301208,-0.0,0.0,0.0,0,0
7,District,district,4.0,0.3325999975204468,0.6292762160301208,0.0,0.0,,0,0
8,Building_1,building,3.75,0.3184875249862671,0.5793845653533936,-0.0,0.0,0.0,0,0
8,District,district,3.75,0.3184875249862671,0.5793845653533936,0.0,0.0,,0,0
9,Building_1,building,4.0,0.3397200107574463,0.6180102229118347,-0.0,0.0,0.0,0,0
9,District,district,4.0,0.3397200107574463,0.6180102229118347,0.0,0.0,,0,0
10,Building_1,building,4.25,0.3609524965286255,0.6566358804702759,-0.0,0.0,0.0,0,0
10,District,district,4.25,0.3609524965286255,0.6566358804702759,0.0,0.0,,0,0
11,Building_1,building,4.25,0.3609524965286255,0.6566358804702759,-0.0,0.0,0.0,0,0
11,District,district,4.25,0.3609524965286255,0.6566358804702759,0.0,0.0,,0,0
12,Building_1,building,5.0,0.42465001344680786,0.754724383354187,-0.0,0.0,0.0,0,0
12,District,district,5.0,0.42465001344680786,0.754724383354187,0.0,0.0,,0,0
13,Building_1,building,4.25,0.3609524965286255,0.6415157318115234,-0.0,0.0,0.0,0,0
13,District,district,4.25,0.3609524965286255,0.6415157318115234,0.0,0.0,,0,0
14,Building_1,building,4.25,0.3609524965286255,0.6415157318115234,-0.0,0.0,0.0,0,0
14,District,district,4.25,0.3609524965286255,0.6415157318115234,0.0,0.0,,0,0
15,Building_1,building,3.75,0.3184875249862671,0.5660432577133179,-0.0,0.0,0.0,0,0
15,District,district,3.75,0.3184875249862671,0.5660432577133179,0.0,0.0,,0,0
16,Building_1,building,3.75,0.3184875249862671,0.5693244934082031,-0.0,0.0,0.0,0,0
16,District,district,3.75,0.3184875249862671,0.5693244934082031,0.0,0.0,,0,0
17,Building_1,building,3.25,0.2760224938392639,0.49341458082199097,-0.0,0.0,0.0,0,0
17,District,district,3.25,0.2760224938392639,0.49341458082199097,0.0,0.0,,0,0
18,Building_1,building,2.75,0.23355750739574432,0.4175046384334564,-0.0,0.0,0.0,0,0
18,District,district,2.75,0.23355750739574432,0.4175046384334564,0.0,0.0,,0,0
19,Building_1,building,3.0,0.2547900080680847,0.4554595947265625,-0.0,0.0,0.0,0,0
19,District,district,3.0,0.2547900080680847,0.4554595947265625,0.0,0.0,,0,0
20,Building_1,building,2.74916672706604,0.23348674178123474,0.43461087346076965,-0.0008333333535119891,0.0,0.0,0,0
20,District,district,2.74916672706604,0.23348674178123474,0.43461087346076965,-0.0008333333535119891,0.0,,0,0
21,Building_1,building,3.2341666221618652,0.2746777832508087,0.5112836360931396,-0.015833333134651184,0.0,0.0,0,0
21,District,district,3.2341666221618652,0.2746777832508087,0.5112836360931396,-0.015833333134651184,0.0,,0,0
22,Building_1,building,2.9616665840148926,0.2515343427658081,0.4682046175003052,-0.038333334028720856,0.0,0.0,0,0
22,District,district,2.9616665840148926,0.2515343427658081,0.4682046175003052,-0.038333334028720856,0.0,,0,0
23,Building_1,building,3.178333282470703,0.26993584632873535,0.5024570822715759,-0.0716666653752327,0.0,0.0,0,0
23,District,district,3.178333282470703,0.26993584632873535,0.5024570822715759,-0.0716666653752327,0.0,,0,0
24,Building_1,building,3.378333330154419,0.28090840578079224,0.547085165977478,-0.12166666984558105,0.0,0.0,0,0
24,District,district,3.378333330154419,0.28090840578079224,0.547085165977478,-0.12166666984558105,0.0,,0,0
25,Building_1,building,4.025000095367432,0.3346787691116333,0.6518059968948364,-0.22499999403953552,0.0,0.0,0,0
25,District,district,4.025000095367432,0.3346787691116333,0.6518059968948364,-0.22499999403953552,0.0,,0,0
26,Building_1,building,4.87333345413208,0.4052176773548126,0.7891845107078552,-0.3766666650772095,0.0,0.0,0,0
26,District,district,4.87333345413208,0.4052176773548126,0.7891845107078552,-0.3766666650772095,0.0,,0,0
27,Building_1,building,4.822500228881836,0.40099090337753296,0.7809526324272156,-0.42750000953674316,0.0,0.0,0,0
27,District,district,4.822500228881836,0.40099090337753296,0.7809526324272156,-0.42750000953674316,0.0,,0,0
28,Building_1,building,4.888333320617676,0.40646490454673767,0.8033778667449951,-0.6116666793823242,0.0,0.0,0,0
28,District,district,4.888333320617676,0.40646490454673767,0.8033778667449951,-0.6116666793823242,0.0,,0,0
29,Building_1,building,5.222499847412109,0.4342508614063263,0.8582967519760132,-1.027500033378601,0.0,0.0,0,0
29,District,district,5.222499847412109,0.4342508614063263,0.8582967519760132,-1.027500033378601,0.0,,0,0
30,Building_1,building,6.483333587646484,0.5390892028808594,1.0655096769332886,-1.2666666507720947,0.0,0.0,0,0
30,District,district,6.483333587646484,0.5390892028808594,1.0655096769332886,-1.2666666507720947,0.0,,0,0
31,Building_1,building,5.356666564941406,0.44540682435035706,0.8803465366363525,-1.3933333158493042,0.0,0.0,0,0
31,District,district,5.356666564941406,0.44540682435035706,0.8803465366363525,-1.3933333158493042,0.0,,0,0
32,Building_1,building,4.537499904632568,0.37729310989379883,0.866654098033905,-1.465000033378601,0.0,0.0,0,0
32,District,district,4.537499904632568,0.37729310989379883,0.866654098033905,-1.465000033378601,0.0,,0,0
33,Building_1,building,5.039999961853027,0.41907599568367004,0.9626306891441345,-1.5075000524520874,0.0,0.0,0,0
33,District,district,5.039999961853027,0.41907599568367004,0.9626306891441345,-1.5075000524520874,0.0,,0,0
34,Building_1,building,4.014999866485596,0.3338472247123718,0.7668575644493103,-1.600000023841858,0.0,0.0,0,0
34,District,district,4.014999866485596,0.3338472247123718,0.7668575644493103,-1.600000023841858,0.0,,0,0
35,Building_1,building,3.7941668033599854,0.3154849708080292,0.7246788740158081,-1.6708333492279053,0.0,0.0,0,0
35,District,district,3.7941668033599854,0.3154849708080292,0.7246788740158081,-1.6708333492279053,0.0,,0,0
36,Building_1,building,2.3349997997283936,0.1941552311182022,0.47376880049705505,-1.7799999713897705,0.0,0.0,0,0
36,District,district,2.3349997997283936,0.1941552311182022,0.47376880049705505,-1.7799999713897705,0.0,,0,0
37,Building_1,building,1.78249990940094,0.14821486175060272,0.3616671860218048,-1.8925000429153442,0.0,0.0,0,0
37,District,district,1.78249990940094,0.14821486175060272,0.3616671860218048,-1.8925000429153442,0.0,,0,0
38,Building_1,building,2.0450000762939453,0.1700417548418045,0.4149281978607178,-2.0850000381469727,0.0,0.0,0,0
38,District,district,2.0450000762939453,0.1700417548418045,0.4149281978607178,-2.0850000381469727,0.0,,0,0
39,Building_1,building,2.620833158493042,0.21792227029800415,0.531764030456543,-2.1616666316986084,0.0,0.0,0,0
39,District,district,2.620833158493042,0.21792227029800415,0.531764030456543,-2.1616666316986084,0.0,,0,0
40,Building_1,building,4.561666488647461,0.3793025612831116,0.9710496068000793,-2.2733333110809326,0.0,0.0,0,0
40,District,district,4.561666488647461,0.3793025612831116,0.9710496068000793,-2.2733333110809326,0.0,,0,0
41,Building_1,building,2.8508334159851074,0.23704679310321808,0.6068617105484009,-2.7316665649414062,0.0,0.0,0,0
41,District,district,2.8508334159851074,0.23704679310321808,0.6068617105484009,-2.7316665649414062,0.0,,0,0
42,Building_1,building,0.8524999618530273,0.07088536769151688,0.18147310614585876,-2.947499990463257,0.0,0.0,0,0
42,District,district,0.8524999618530273,0.07088536769151688,0.18147310614585876,-2.947499990463257,0.0,,0,0
43,Building_1,building,1.3241667747497559,0.11010446399450302,0.2818776071071625,-2.6058332920074463,0.0,0.0,0,0
43,District,district,1.3241667747497559,0.11010446399450302,0.2818776071071625,-2.6058332920074463,0.0,,0,0
44,Building_1,building,2.5216665267944336,0.2096765637397766,0.5691651105880737,-3.120833396911621,0.0,0.0,0,0
44,District,district,2.5216665267944336,0.2096765637397766,0.5691651105880737,-3.120833396911621,0.0,,0,0
45,Building_1,building,5.7191667556762695,0.47554871439933777,1.2908726930618286,-3.005833387374878,0.0,0.0,0,0
45,District,district,5.7191667556762695,0.47554871439933777,1.2908726930618286,-3.005833387374878,0.0,,0,0
46,Building_1,building,2.428333282470703,0.20191590487957,0.5480989217758179,-3.006666660308838,0.0,0.0,0,0
46,District,district,2.428333282470703,0.20191590487957,0.5480989217758179,-3.006666660308838,0.0,,0,0
47,Building_1,building,1.5458333492279053,0.12853604555130005,0.3489099144935608,-3.001666784286499,0.0,0.0,0,0
47,District,district,1.5458333492279053,0.12853604555130005,0.3489099144935608,-3.001666784286499,0.0,,0,0
48,Building_1,building,1.2183332443237305,0.10130441188812256,0.2858305871486664,-3.006666660308838,0.0,0.0,0,0
48,District,district,1.2183332443237305,0.10130441188812256,0.2858305871486664,-3.006666660308838,0.0,,0,0
49,Building_1,building,1.4716668128967285,0.12236909568309784,0.34526464343070984,-3.0308332443237305,0.0,0.0,0,0
49,District,district,1.4716668128967285,0.12236909568309784,0.34526464343070984,-3.0308332443237305,0.0,,0,0
50,Building_1,building,4.157500267028809,0.3456961512565613,0.975382387638092,-2.9674999713897705,0.0,0.0,0,0
50,District,district,4.157500267028809,0.3456961512565613,0.975382387638092,-2.9674999713897705,0.0,,0,0
51,Building_1,building,1.7849998474121094,0.1484227329492569,0.4187750518321991,-2.6675000190734863,0.0,0.0,0,0
51,District,district,1.7849998474121094,0.1484227329492569,0.4187750518321991,-2.6675000190734863,0.0,,0,0
52,Building_1,building,1.7075002193450928,0.14197863638401031,0.4146847128868103,-2.7774999141693115,0.0,0.0,0,0
52,District,district,1.7075002193450928,0.14197863638401031,0.4146847128868103,-2.7774999141693115,0.0,,0,0
53,Building_1,building,1.2358334064483643,0.10275954753160477,0.30013537406921387,-3.126666784286499,0.0,0.0,0,0
53,District,district,1.2358334064483643,0.10275954753160477,0.30013537406921387,-3.126666784286499,0.0,,0,0
54,Building_1,building,2.1516666412353516,0.17891107499599457,0.5225552916526794,-3.1408333778381348,0.0,0.0,0,0
54,District,district,2.1516666412353516,0.17891107499599457,0.5225552916526794,-3.1408333778381348,0.0,,0,0
55,Building_1,building,1.189166784286499,0.09887921810150146,0.2888018786907196,-2.698333263397217,0.0,0.0,0,0
55,District,district,1.189166784286499,0.09887921810150146,0.2888018786907196,-2.698333263397217,0.0,,0,0
56,Building_1,building,1.7708334922790527,0.14724481105804443,0.42896538972854614,-3.196666717529297,0.0,0.0,0,0
56,District,district,1.7708334922790527,0.14724481105804443,0.42896538972854614,-3.196666717529297,0.0,,0,0
57,Building_1,building,1.2291665077209473,0.10220519453287125,0.29775238037109375,-3.0158333778381348,0.0,0.0,0,0
57,District,district,1.2291665077209473,0.10220519453287125,0.29775238037109375,-3.0158333778381348,0.0,,0,0
58,Building_1,building,1.249999761581421,0.10393747687339783,0.3027990162372589,-2.9700000286102295,0.0,0.0,0,0
58,District,district,1.249999761581421,0.10393747687339783,0.3027990162372589,-2.9700000286102295,0.0,,0,0
59,Building_1,building,1.812499761581421,0.1507093608379364,0.4390585720539093,-2.930000066757202,0.0,0.0,0,0
59,District,district,1.812499761581421,0.1507093608379364,0.4390585720539093,-2.930000066757202,0.0,,0,0
60,Building_1,building,1.2949998378753662,0.10767923295497894,0.314270943403244,-2.884999990463257,0.0,0.0,0,0
60,District,district,1.2949998378753662,0.10767923295497894,0.314270943403244,-2.884999990463257,0.0,,0,0
61,Building_1,building,1.6091666221618652,0.13380220532417297,0.39051303267478943,-2.805833339691162,0.0,0.0,0,0
61,District,district,1.6091666221618652,0.13380220532417297,0.39051303267478943,-2.805833339691162,0.0,,0,0
