Mes,Energia_kWh,Custo_EUR,Preco_medio
Jan,13319.106684923172,1235.8551281449036,0.09278813942858903
Fev,11909.329164743423,1108.9212279953063,0.0931136601109469
Mar,9889.74915459752,917.2933748963544,0.09275193541890044
Abr,6657.827504634857,609.6914383106157,0.09157513286221039
Mai,3820.4175061490387,347.75296710994195,0.09102485959982817
Jun,3441.6608283012174,311.5339066560609,0.09051847994267119
Jul,2855.526677058544,255.86677013150438,0.08960405524737411
Ago,3474.8008378706872,310.2951625148031,0.08929868990849787
Set,4443.371672838926,406.7035403615954,0.09153038960203556
Out,7132.815839409828,664.8750080618288,0.0932135390890508
Nov,9113.690837144852,845.9773104097694,0.0928248857160924
Dez,13920.000005126,1286.2124069416896,0.09240031655661247
